content,label
Does not do much different than Google tasks (which is easier to use and is free). As a result I wanted a refund as I only realized this after my 7 day trial. Refunds are only given within 24 hours of their drawing their fee. Not sure that is legal for an automatic subscription after app trial.,poor
"Bekaar... bagwas.. time waste... useless.. and asking for payment, before use anyway",poor
Useless app... Set up 8 reminders during a course of 4 days and not once received any notification! Waste of money.,poor
Subscription!!!,poor
"This app met my needs until this latest update. Dislike the new format to such a degree that it's a dealbreaker. Now I have to start from scratch researching apps to find a replacement. I know, I used the free version so you don't care if I go but this is such a disappointment.",poor
It syncs EVERYTHING. terrible. you have to get the pro version in order to be able to do anything actually worth while!!!,poor
I don't found usefulness,poor
"In the calendar of Any.do, 1st of August is marked as bakr-Id, but 22nd August is not marked as Ganesha chaturthi! Is there a specific reason? or was it conveniently forgotten? Developer, please do respond. Because it depends on your response whether to buy it or not?",poor
Its a good app but the app keeps crashing when i allow this app to add to my calendar. After adding it to calendar then yhis app doesnt open. Keeps crashing,poor
"Saying free and simple is not telling people it is a 7 day free trial especially at Google play store and people only know it's a 7 day free trial after they download it. So why won't Google do anything about this app developers not mention their apps have a trial period, which results in people downloading apps for nothing. PS 95% of the app is free, until the trial period finishes.",poor
"Scam premium that bypasses GooglePlay, On the mobile app you can only buy 1 year of premium while on the website a monthly payment is possible. People buy the monthly more often and the developer listed it on its personal website only to bypass google fee, thus i need to link my card on their site too",poor
"This new layout is just awful. Just ridiculously awful. I cannot in any way fathom how this got a thumbs up from anybody. Bye bye Any.do, I'm off to download something that wasn't designed by a nine year old.",poor
You have to open an account with them. I won't be going there. Would be nice to be given the choice.,poor
"There is no option to delete the account. If i don't find this app useful, you guyz will keep my data? This is against the policies and norms",poor
Efvig,poor
Sorry way to complicated. And why would you think I want my information out on your servers? Wanted to create a weekday event spent more time trying to figure out how to do that than it took to write in a diary.,poor
Super,poor
Worked great for a few years and then the past couple of months it eats anything added to the list! I can sit and watch things drop off before my very eyes!,poor
Way over priced for what it does. Not worth it!!,poor
Delete application,poor
Laggy responses to resolved items and errors in recurring reminders,poor
Nice app,poor
No new it's repeated app,poor
It stop working and I try to reinstall it but same problem,poor
"Automatically shows the reminder Snackbar when I open other apps without me setting it up, what kind of violation is this??? Stop bugging your users unsolicitedly. Uninstalled",poor
"I love this app, but I do have one major gripe - I want an option to buy premium once (even at a higher price) and not as a monthly or yearly subscription. Edit - very unhappy with developer response to pricing. I want to buy premium for this great product they made, but it's NOT a service. This isn't Netflix. You're going to turn potential buyers away with this pricing model",poor
Atleast make a few features available .. if the customer donot like the app at initial stage than how would he/she ever think about going premium,poor
"Requires a sign up for features I have no interest in using, but can't opt out of.",poor
Did not sign up. App not even on my phone. This payment deduction will be reported and I request you refund my money immediately.,poor
Autofill on Android 10 does not work,poor
"Had charged twice but still not getting premium version access,",poor
Have have to make an account in order to use this app. There is no way around it.,poor
"Creating an account is supposed to ALLOW you, not FORCE you. Uninstalled without trying it",poor
Stop Adding Groceries Items Like an Ad,poor
Bakwas app,poor
"I don't get task notifications anymore!!! This app has become useless. I have uninstalled and reinstalled, turned on / allowed notifications in the settings yet nothing.",poor
Good improvements but still don't have nag or presisitent reminders. I missing a lot reminders accidentally,poor
"Useless, ring bells only one time, and not a good reminder",poor
Having to pay to set a recurring task is ridiculous and essentially makes the app useless to anyone who doesn't want to pay so this essentially is not a free app.,poor
There is some issue in payment.,poor
Too complicated. I need a plan to plan tasks.,poor
Everything it expects you to pay,poor
"This app is useless unless you make the monthly payment, in that case does exist other app free and only with the essential",poor
Too many features locked behind premium.,poor
Worst app,poor
"I have the same recurring tasks to do every day. I need a to-do-list reminder to buzz me when it's time. The problem with this app, is that those reminder times somehow start drifting every day, giving me different times the next day! That is an annoying fail! Screw it, I'm going elsewhere. if I find a better app, I'll let you guys know. UPDATE : Suggestion did not work, and I found an app, that does not drift. I have moved on.",poor
"OMG the UI is awful, seriously you have popup for premium every 2 seconds, there's no intuitive way see a normal calendar, you have to create an account even if you don't want to, the app is beautiful but show screen where it's impossible to understand what you have to do. It's a calendar, show a f... calendar.",poor
Not good,poor
"Trash. Yes, it has some nice nifty features but it lacks in complete necessities to actually plan your day. You can make a task, perfectly include subtasks and then add a nice color to the task. But no yellow, because that's already the fixed color of the 'priority label'. Reminders are great, except you can only have one. If I want to have a reminder on Wednesday 10AM and a reminder on Friday 6PM, I'd need a different app. Because this app only allows you to set 1 reminder. Frustrating. 0/10",poor
"Is it necessary to sign up account? While making a new account it's shows error ""oops try again later""",poor
I've been using the app for a while and since last week it has been acting weird. I don't receive reminders anymore and it's completely a waste of time to set reminders! Not very reliable right now,poor
"While it's nice program, I can justify paying for it in perpetuity. That's just insane.",poor
Have to pay for recurrent daily task.. which is the main purpose of that app.,poor
"List sharing sharing is not working. UX is straight from iOS app, terrible",poor
"Worst app I have ever used, it doesn't do anything.",poor
Raben nat s7,poor
First thing that happened upon opening is asking for payment. Good job.,poor
"I do not have much to say in regards to the app itself. It seems to function fine, but it was not the calendar app that I needed. The reason I am giving it 1 star is because I canceled my subscription and account within the seven day free trial and still got charged the yearly rate. The problem has been reported to the company. I will keep this review updated with any action from Any.Do. UPDATE: The gist of the problem is this. Any.do makes it very difficult to find out how to cancel the sub.",poor
"Unable to register with an email. Clicking""continue with email"" will just take you to a login page. Complete waste of time. I searched them first three pages of Google for a solution and found nothing. Found no solution on their help section. I don't want to register with Facebook or Google. If you include a feature, make sure it actually works.",poor
"My backup is gone, very important data deleted",poor
"Any.Forget... Had an instance of daily repeating event, that I have marked as complete today and somehow it did skip the next day and only proceeded to the day after. Kind of ""daily event with some days skipped"". So useless to me as can't be trusted for notifying about daily routine tasks. P.S. don't tell me I don't know how to setup a recurring event!!",poor
"It works okay, But I did not consent to subscribing at $28/year subscription. I thought I purchased it until I saw that it was renewed for an additional $28. It's definitely not worth that price. Very angry and ripped off. I got charged twice for something that I thought I bought outright. I will never buy anything from them. Ever",poor
Very slow app it took me 10 min just to start the app....,poor
"Updates made that are not fully tested. They need to add option to revert back to the olddd verison. that was simple to use, but most importantly it worked.",poor
Anydo,poor
"App loding ke baad peese maang raha hai, pahle bataaye , data kyo kharaab karwaya",poor
"Ruined the app by trying to get too fancy. My wife has also become frustrated with it. She has had it since it started and now struggles with it. You should be able to add a task then go straight to set time/day. But instead, you have all the other short cuts there that really aren't.",poor
I could not have any expirions about this app,poor
Terrible App. Don't waste your money.,poor
I couldn't use it,poor
Looks like a pretty good app but it doesn't sync with Alexa. Which is the main reason I installed it. Shouldn't be this difficult.,poor
"Forces you to sign up and use credentials, uninstalled.",poor
Hf,poor
Most useless app ever used! Very difficult to save anything or find anything! Put some tasks didn't get any reminders so didn't do it! Erasing this nonsense Can't even save this review,poor
Its a great app but I dont receive any events notification although I have allowed the notification to come through from this app. I really don't understand why because I have set everything correctly.,poor
Virender.kumar,poor
Useless,poor
Price is high,poor
"Under subtitle *security* ""However, please note that we cannot guarantee that the information will not be exposed as a result of unauthorized penetration to our servers"" Sorry no thanks.i just downloaded but after reading privacy policy i prefer going thru •Google official •one & app like calendar required lot of access ,&i personally don't wanna bleach my data like this..btw the tq for placing the info it to let us know :)",poor
Bad app,poor
Tried doing all the settings as per ur guidence.. but app is not supporting popups in lock screen.. everytime I have to unlock my screen to check the event..,poor
"This is an overengineered list keeping app that I hate. I kept it for years in spite of that because I was in the ecosystem, but today it locked me out of my grocery list so good riddance. No i don't need it to take thirty seconds to boot up my grocery list so that your algorithm can tell me how to most productively plan my day by sorting my grocery list in order of the order I entered each item. I do not need an any.do minute.",poor
KimHong,poor
I hate this app 😡😤😤 as soon as I downloaded it my phone was hanging 😠😠😠😡😠😡 😠,poor
"Monthly fee for Dark mode, really? I could accept a one time payment for such a feature but not monthly.",poor
"No Grocery widget, Ridiculous... The task widget is confusing, I just want to be able to add stuff simply on the fly.",poor
This app has Malware.,poor
"Not happy, app just asked me to 'sign in' and now has deleted all my previous reminders. I had reminders set up for throughout the rest of this year and now I don't know what they were. You've put me off using your app now, what's the point if it's not reliable!!!",poor
Not Making an Account!,poor
"I was a customer of Any.Do for a while and on March 2020 i clearly asked them NOT to renew my subscription as i found a different company to provide me task manger services - Todoist. More than that - i even consult with Any.Do technical support team how to transfer my database to Todoist and over the phone, i ALSO remind them to cancel it. I received the cancellation notice and I DID NOT ask them to renew/continue any of Any.Do services. More than that - i also have the Invoice from the company i moved my services, Todoist, for the same period of time that Any.Do charged me for. After i tried to contact Any.Do they refused to refund me. Therefore, i let you and everybody to know that I WILL NOT USE ANY OF ANY.DO services anymore and recommend everyone that read this post DO NOT USE ANY.DO SERVICES or you taking a big risk that something like that will happen to you as well.",poor
"EVERY service I attempted to connect (Gmail, Gtasks, google calendar,) timed out during setup (oops error). Been 2 days and still no reply from support. Device is Samsung S9 with Android 10.",poor
"This app used to be great when paired with Alexa. Every once in awhile the sync would break but disabling the app and relinking the account would fix the issue. This has not been the case for the past several months. Any.do it is no longer syncing with Alexa and based on the reviews of the Alexa app it is affecting a lot of people, has been ongoing for weeks, and there doesn't appear to be a fix coming. Going to give anylist a try to see if it works with Alexa.",poor
I dont know..why people appreciate this app..not user friendly...,poor
Time setting is so dumb. Fix it,poor
SWEETY SWEETY Kumari,poor
Not working,poor
No integration with created Alexa Lists.,poor
You have to pay for all the decent features... There's nothing you want to do that your alarm doesn't already do,poor
can't open,poor
Hopeless,poor
I dont understand how it works. Not very clear on how to use it. And it comstantly showed notifications for anything i made a note of,poor
Do not have option to not connect to fb google or email,poor
"It's testing the edge of my patience. Even though I have better internet connection it keeps saying ""couldn't find the Internet connection. Try again later"". It's my first time. I can't sign in so I can't go in to the app and plan anything. Already I tried reinstall twice.",poor
Please Add UPI feature because I tried many debit cards to get the Premium Versionof this app but any of them was accepted.,poor
Lost all my lists when I was forced to give email address. Was good prior to having to start all over.,poor
"Many errors, the app is good but sometimes with the recurrent task do not work when I use desktop app it do not sync well and I lose many task and this is unpleasant. Pay for this app with this errors is a bad idea. I do no feel secure with app I lose taks and time. I hope the app get better. And the plan my day would be good if add the tasks in someday",poor
"Since last 2 updates I am facing this problem that when I open the app, one or two tasks get shuffled to the top. Then I have to put it again in the planned sequence. This happens almost everytime I open the app.",poor
"Updates made it worse. Was using it all the time, and the recent updates made it all confusing and unnecessarily graphically complex. Sorry had to uninstall.",poor
Rare,poor
Good app but I wish there was a monthly payment option for premium instead of annual.,poor
Pushing to hard for premium upgrade. Not interested anymore,poor
"Ill join with my fellow reviewers and say that i was very satisfied with the app when i started using it about two years ago, but since then i feel that its functionality and simplicity have been compromised, especially with the newest update that just made the app's interface (via smartphone) completely uncomfortable because i can't see my tasks laid out chronologically in an organized and pleasing way anymore.",poor
Whapp integration is bad. Barely anything works. Focus to whapp integration and seeya again,poor
"It was good until they updated it and took out the today, someday, upcoming categories out, which is how I organized everything",poor
"I found this app difficult to organize in a way that was useful for me. I couldn't separate which items showed up on my phone widget by topic, so it showed all of them which was unnecessary. I also found the reminders to plan my day annoying. It would be better with an improved calendar and prioritizing options. Last, it is extremely frustrating to try and unsubscribe from yearly renewal. It is buried deep in the info and the actual faq for this has a broken link. Super sketchy and rude.",poor
"Widget not working. Everytime i checked the next or previous month it'd be lagging and later it was just blank. Love the app but i really need the widget, sorry.",poor
no repeat alarm,poor
"Why are random items popping up on our Grocery List? Is this your way of advertising? We have purchased unnecessary items that I had never even heard of. Sun Maid Smore Bites? Nope, no one added them on. I love using the app, but this is very deceptive manipulating the grocery lists.",poor
"I switched to Any.do when Wunderlist ended. I wanted a simple interface that let me share lists and tasks with my husband. Any.do did that, but in the least efficient way possible. Our initials are the same and tiles aren't customizable, so it was impossible to tell who a task was assigned to. The app always defaulted to tasks even if I had just been using a shopping list. It was a huge pain to navigate. Not what we needed at all.",poor
Confused,poor
I like this apps but the thing is anything need to pay? So sorry to do list i only gave it 2 star and its so bad 😔,poor
Star,poor
"The app used to be great, now it's intrusive. I can't get it to stop popping up and inserting itself into my life. Uninstall.",poor
"Google login not working at all. Tried 2 accounts, gets stuck at setting up",poor
"With the recent upgrade, the phone app arbitrarily deletes things off my to do list or moves them around without me doing it. The app on my desktop is now slower than molasses. It worked great until the upgrade!",poor
"Tarefas (Tasks) somem sozinhas e atrasam nos horários em demais semanas pré-definidas. A ideia do aplicativo é boa mas esses problemas o torna praticamente inútil, inviável utilização.",poor
Its ok i guess,poor
"The app was great until I suddenly lost all my data. I went to launch it after closing it 30 minutes ago, and everything was gone. I had so many tasks and notes in it",poor
"App shouldn't enforce sign in for use. Uninstalled. Waste of time. Edit: that sounds like optional functionality for an app labeled to do list! Not a complete blocker to using the app. For a simple ""I need to make a quick note to remind myself of later"" this isn't very good.",poor
Not what is expected,poor
"Useful app, but it just beeped/popped up a notification advertising some new features. I consider that spam, that's why you're getting the 2 stars.",poor
"First day of downloading it, it drained my battery in 6h (both phone and watch). Battery went back to normal once i uninstalled it. Please fix that guys so we can use the app",poor
Perhaps the least user friendly app on Playstore. My head is spinning. Why is it so hard to edit the time of reminder?,poor
The last update removed grid view and left us with a very odd task interface.,poor
This is not free. Paid one. Some features are limited till paid.,poor
"Upon making a task, setting time and date by typing them has become absurd! The app understands what it wants and acts by itself. What do you mean 'use natural language'?",poor
"Update on 25/8/20 :- worst update ever,, was moderately ok until August update. app totally dewastated. Now it is even lags like hell. Not even able to strike down a task after doing it in one touch 👎👎👎",poor
App is good & I am using it since 6 months now BUT NOW A DAYS AUTOMATICALLY SHUTDOWN WHOLE WORKING,poor
Got into the help menu by accident. Can't get back to my lists.,poor
"I used this app every day for years, but just uninstalled and changed to a different to do list app because of the new layout. The grid was much easier to use and better looking.",poor
I have bought it yet it displays ERROR IN VERIFYING MY WHATSAPP INTEGRATION 😡😡😡😡,poor
"A lot of basic features locked away behind a pay wall, not very customisable imo . Not the right to-do list app for me.",poor
Ok it was good app but all the good feature are in premium no use of downloading if I'm not satisfied why would i pay for a premium one,poor
"It duplicates events, often with the incorrect time, and delete events I invite other to. Very aggravating.",poor
Constant prompts for trials and upgrades. Super annoying.,poor
"My rating is just based on my needs. The app says it has recurring tasks, it does not. It does have recurring reminders for ""on going"" tasks which may be useful in certain applications. The result of which being if you click on a task that you do everyday it puts the next reminder on the list giving the illusion the task was left undone. The exact opposite of what a checklist should do. If you want actual individual repeating tasks or list this is not the app.",poor
"Beautifully designed interface, but VERY CLICK-BAITY / PUSHY - I would NOT recommend.",poor
"Bare Bones. Integrations are a lie. You have to use a third party app to make it work and Zapier is garbage. Grocery list is kind of cool. Calendar has that annoying Apple style slide that hides evens and is impossible to read instead of traditional blocks. Support button is for bug fixes only, so premium support is also a lie.",poor
I'm experiencing issues with the reminder option. Whenever I set a reminder I get neither the notification or the popup which as a result makes me forget things. This issue wasn't there before. What can be done to solve this?,poor
Rimnder alram ka bhi option h ya nhi,poor
Loved this app but I prefer writing things down,poor
Ordinary updates delete reminders,poor
Why pay for such simplicity?,poor
"For an app that's meant to help me organise my time more effectively, I didn't expect it would take the longest time to boot up compared to all the utility apps on my device... Really nice UI though...",poor
Why so expensive? Microsoft Task or reminder offer most of the features that this app has. Could you please decrease the price a little bit? Or give me some discount? Atleast for the first Year?,poor
"I like it at lot, but it seems like recently, this v thing is taking out my battery, hogging memory, and using data more than chrome which I use constantly. Until someone can help me figure this out, or if this high usage of phone resources is normal, I can't rate it any higher. I might even have to remove it and search for an alternative.",poor
Can't repeat task at custom intervals,poor
It stopped showing reminders and notifications!!!!!,poor
"Uninstalled. I want a simple reminder app that will put a daily notification in my notification bar, every single day. Nothing else. No other features. But this is so bloated with features, it's impossible to know if it might do this or not.",poor
"Couldn't get the hang of it, I want something simple and cheaper to remind me of birthdays and dog to vets etc",poor
"Too annoying premium advertising, darkmode is premium only",poor
"The app was an okay task organizer at best, although it required internet and was ridden with adds and paywalls for a monthly ""premium"" subscription. Even if they asked for support, id prefer a one time payment of a higher amount like, $5 to unlock all features.",poor
Used to be good but now doesn't even notify me (and yes this is with the settings amended accordingly),poor
"Some of the sentences on my lists go off the screen, so we need an option to wrap the text when it reaches the right side of the screen. As of June 4, 2017, I can not sign on anymore using samsung galaxy after upgrading to Android 7.0 software. As of 6-19-2020, I never did get any.do to work on my Samsung galaxy s7, but it now works on my Samsung note 8.",poor
"You better don't rotate your phone from vertical to horizontal when typing new task, because it will be GONE. Any.Do support team said 2 years ago that it will be fixed, but it's still not. Also I have over 80 tasks and would love to see the search feature and ability to sort tasks by the date of their creation and by the alert date. The search was implemented but I don't know how to use it. Probably it works only on paid version.",poor
i liked it because of plan a tree cz i really needed it but it's expensive soo.. k bye,poor
The update is annoying. I want to add time on the list. But you just add time tag feature which make the time that i put not being displayed.,poor
LAGGIN! cannot open. Tq,poor
Recurring reminders are available for free in Google reminder. You can't Monetize the basic functions.,poor
For me it frequently stops syncing. I currently can't get it working again. But when it was working it was great.,poor
Doesnt work on windows,poor
not user friendly.,poor
Used to love this app. After the latest update its garbage! Can't turn off the automatic date/time thing that erases what you put in and sends it to that date or time. Will hang onto it for a bit in hopes that a new update will fix this issue. Or at least give the option to turn it off.,poor
"The website boasts that any.do is the best grocery list app for Android Wear. Lies. There is no way to view lists on Android Wear, only add tasks. You can view lists on Apple Watch. This is the feature I need and I guess I'll look elsewhere.",poor
"Reminder does not pop up on time or in some cases, does not pop up at all",poor
I love using this app however when I installed it to one of my phones I cannot login to it. It just keeps closing. I don't know what's wrong. Also I wish the widget would contain date and time of the tasks not just tick marks.,poor
"Not the bloody annoying calendar/task widget thing again. You did this once before. I don't want to use your calendar, just the task list so please bring back the option of a widget without the calendar option written at the top. Will use an alternative until I see AnyDo has been updated.",poor
"Paywall, even for dark theme. Very disappointed",poor
Not yet solved. Cannot log in,poor
"I need this app to share tasks real time with my significant other. Unfortunately, when she is adding tasks from iOS, sometimes they do no show up for me. Switching to Microsoft To Do and no problems. Additionally, being able to paste multiple cells from Excel makes MS offering indispensable, something I would sorely miss if I returned to Any.do.",poor
useless,poor
It can't adjust tasks with real-time line.,poor
I actually love this and have use this for a year but the new update is no good at all that I need to edit my review due to the changes...,poor
"In a word: clunky. I like the calendar integration, however everything else is basic and clunky. Simply adding a task to a list takes 3 clicks and you CANNOT SET A DATE, TIME, SUBTASKS, OR NOTES UNLESS YOU EXIT OUT OF THE TASK AND GOING BACK TO YOUR LIST. The app is designed to give you as many notifications as it can and constantly advertise the premium version. And whatever you do, DO NOT SIGN UP FOR A FREE TRIAL UNLESS YOU'RE WILLING TO SPEND AN HOUR SEARCHING FOR HOW TO DO SO.",poor
"Whuup, sorry, need to pay for unlimited daily task. Nope",poor
"Buggy interface. The grocery list feature is fine but the schedule is terrible. It kept changing event details after I saved. I had to go back in and turn off alarms for previously saved events (that I had alarms off). And it would NOT let me create an all day event that was only scheduled one day. No matter how many times I changed the dates it kept including the day before in my ""all day"" event. And then when I would try to edit it, it would change completely to two days before. What a mess.",poor
Free version is very limited compared to Ticktick and Microsoft To Do.,poor
